Fecha,Market Cap (B $)
2017-11-30,0.0
2017-12-31,0.0
2018-01-31,0.06
2018-02-28,0.06
2018-03-31,0.06
2018-04-30,0.06
2018-05-31,0.06
2018-06-30,0.06
2018-07-31,0.02
2018-08-31,0.02
2018-09-30,0.04
2018-10-31,0.27
2018-11-30,0.34
2018-12-31,0.42
2019-01-31,0.68
2019-02-28,0.61
2019-03-31,0.62
2019-04-30,1.06
2019-05-31,1.3
2019-06-30,1.76
2019-07-31,2.41
2019-08-31,2.51
2019-09-30,2.94
2019-10-31,3.65
2019-11-30,3.69
2019-12-31,4.17
2020-01-31,5.22
2020-02-29,5.22
2020-03-31,5.49
2020-04-30,9.13
2020-05-31,10.57
2020-06-30,11.34
2020-07-31,12.92
2020-08-31,16.25
2020-09-30,19.19
2020-10-31,21.15
2020-11-30,23.57
2020-12-31,27.02
2021-01-31,36.8
2021-02-28,50.89
2021-03-31,62.86
2021-04-30,83.66
2021-05-31,102.65
2021-06-30,109.84
2021-07-31,114.44
2021-08-31,118.36
2021-09-30,127.15
2021-10-31,131.92
2021-11-30,148.98
2021-12-31,162.8
2022-01-31,173.67
2022-02-28,184.22
2022-03-31,187.43
2022-04-30,187.36
2022-05-31,159.29
2022-06-30,153.35
2022-07-31,153.19
2022-08-31,153.01
2022-09-30,149.9
2022-10-31,146.14
2022-11-30,141.58
2022-12-31,138.07
2023-01-31,137.13
2023-02-28,135.1
2023-03-31,132.12
2023-04-30,130.51
2023-05-31,129.64
2023-06-30,128.43
2023-07-31,125.96
2023-08-31,127.77
2023-09-30,126.27
2023-10-31,128.18
2023-11-30,132.47
2023-12-31,134.8
2024-01-31,139.64
2024-02-29,145.3
2024-03-31,155.83
2024-04-30,165.59
2024-05-31,166.48
2024-06-30,167.22
2024-07-31,170.07
2024-08-31,176.12
2024-09-30,179.14
2024-10-31,179.23
2024-11-30,200.86
2024-12-31,210.18
2025-01-31,224.14
2025-02-28,231.07
2025-03-31,240.34
2025-04-30,247.21
2025-05-31,260.59
2025-06-30,266.39
2025-07-31,306.93
2025-08-31,324.2
2025-09-30,338.75
2025-10-31,348.49
2025-11-30,348.47
2025-12-31,350.3
2026-01-31,347.91
2026-02-16,350.3
